broadcast_recipients_id ,related_broadcast,recipient,acknowledged,rejected,last_replied,aifs_id
84,50,6,1,0,2022-06-26 19:30:06,2
85,51,1,1,0,2022-06-27 18:32:18,1
86,51,2,1,0,2022-06-27 18:32:38,2
87,52,3,1,0,2022-06-28 04:25:29,1
88,52,4,1,0,2022-06-28 04:26:19,2
89,53,5,1,0,2022-06-28 19:39:53,1
90,53,6,1,0,2022-06-28 19:40:09,2
91,54,1,1,0,2022-06-29 05:38:35,1
92,54,2,1,0,2022-06-29 05:37:22,2
93,55,3,1,0,2022-06-30 01:33:22,1
94,55,4,1,0,2022-06-30 01:33:18,2
95,56,5,1,0,2022-06-30 18:22:40,1
96,56,6,1,0,2022-06-30 18:22:52,2
97,57,1,1,0,2022-07-01 02:02:56,1
98,57,2,1,0,2022-07-01 02:03:56,2
99,58,3,1,0,2022-07-01 06:01:07,1
100,58,4,1,0,2022-07-01 06:01:24,2
101,59,5,1,0,2022-07-02 20:05:56,1
102,59,6,1,0,2022-07-02 20:07:01,2
103,60,1,1,0,2022-07-03 03:24:53,1
104,60,2,1,0,2022-07-03 03:25:45,2
105,61,3,1,0,2022-07-03 21:31:36,1
106,61,4,1,0,2022-07-03 21:32:24,2
107,62,5,1,0,2022-07-03 21:39:09,1
108,62,6,1,0,2022-07-03 21:38:48,2
109,63,1,1,0,2022-07-04 00:31:24,1
110,63,2,1,0,2022-07-04 00:30:49,2
111,64,3,1,0,2022-07-06 19:51:22,1
112,64,4,1,0,2022-07-06 19:51:36,2
113,65,5,1,0,2022-07-06 21:19:38,1
114,65,6,1,0,2022-07-06 21:20:16,2
115,66,1,1,0,2022-07-07 00:59:25,1
116,66,2,1,0,2022-07-07 01:00:07,2
117,67,3,1,0,2022-07-08 00:55:50,1
118,67,4,1,0,2022-07-08 00:56:17,2
119,68,5,1,0,2022-07-08 02:18:31,1
120,68,6,1,0,2022-07-08 02:18:17,2
121,69,1,1,0,2022-07-10 00:45:35,1
122,69,2,1,0,2022-07-10 00:45:18,2
123,70,3,1,0,2022-07-10 05:51:23,1
124,70,4,1,0,2022-07-10 05:51:04,2
125,71,5,1,0,2022-07-10 18:14:39,1
126,71,6,1,0,2022-07-10 18:14:07,2
127,72,1,1,0,2022-07-10 21:43:25,1
128,72,2,1,0,2022-07-10 21:43:24,2
129,73,3,1,0,2022-07-10 22:31:30,1
130,73,4,1,0,2022-07-10 22:31:22,2
131,74,5,1,0,2022-07-11 19:46:16,1
132,74,6,1,0,2022-07-11 19:47:41,2
133,75,1,1,0,2022-07-12 21:17:57,1
134,75,2,1,0,2022-07-12 21:18:00,2
135,76,3,1,0,2022-07-12 21:31:22,1
136,76,4,1,0,2022-07-12 21:30:43,2
137,77,5,1,0,2022-07-13 21:09:19,1
138,77,6,1,0,2022-07-13 21:08:58,2
139,78,1,1,0,2022-07-15 04:46:15,1
140,78,2,1,0,2022-07-15 04:46:33,2
141,79,3,1,0,2022-07-15 18:07:13,1
142,79,4,1,0,2022-07-15 18:06:38,2
143,80,5,1,0,2022-07-15 22:11:25,1
144,80,6,1,0,2022-07-15 22:10:05,2
145,81,1,1,0,2022-07-17 03:02:55,1
146,81,2,1,0,2022-07-17 03:03:28,2
147,82,3,1,0,2022-07-17 21:18:21,1
148,82,4,1,0,2022-07-17 21:18:11,2
149,83,5,1,0,2022-07-17 21:21:53,1
150,83,6,1,0,2022-07-17 21:22:30,2
151,84,1,1,0,2022-07-18 00:04:02,1
152,84,2,1,0,2022-07-18 00:03:03,2
153,85,3,1,0,2022-07-19 01:29:45,1
154,85,4,1,0,2022-07-19 01:29:20,2
155,86,5,1,0,2022-07-19 01:31:07,1
156,86,6,1,0,2022-07-19 01:31:47,2
157,87,1,1,0,2022-07-20 02:11:46,1
158,87,2,1,0,2022-07-20 02:10:49,2
159,88,3,1,0,2022-07-20 19:19:19,1
160,88,4,1,0,2022-07-20 19:19:14,2
161,89,5,1,0,2022-07-20 20:10:04,1
162,89,6,1,0,2022-07-20 20:09:49,2
163,90,1,1,0,2022-07-20 23:36:40,1
164,90,2,1,0,2022-07-20 23:36:28,2
165,91,3,1,0,2022-07-21 18:03:13,1
166,91,4,1,0,2022-07-21 18:04:18,2
167,92,5,1,0,2022-07-21 19:23:23,1
168,92,6,1,0,2022-07-21 19:22:19,2
169,93,1,1,0,2022-07-22 20:16:28,1
170,93,2,1,0,2022-07-22 20:16:36,2
171,94,3,1,0,2022-07-23 21:20:05,1
172,94,4,1,0,2022-07-23 21:21:01,2
173,95,5,1,0,2022-07-25 04:04:21,1
174,95,6,1,0,2022-07-25 04:03:59,2
175,96,1,1,0,2022-07-26 02:56:59,1
176,96,2,1,0,2022-07-26 02:55:57,2
177,97,3,1,0,2022-07-26 22:56:04,1
178,97,4,1,0,2022-07-26 22:54:43,2
179,98,5,1,0,2022-07-28 02:53:07,1
180,98,6,1,0,2022-07-28 02:51:52,2
